Леонова Ульяна Александровна, ulyana.leonova, Ж, ул. Сакософонова 4, 
Крючкова Елизавета Ильинична, ki.yelizaveta, Ж, ул. Вертолётная 11, 
Прохорова Милана Данииловна, milana, Ж, ул. Ложкова 7, 
Филимонов Дмитрий Александрович, fil.dmitry, М, ул. Центральная 29, 
Иванова Марина Кирилловна, marina.i, Ж, ул. Героев 14, 
Козлов Марк Михайлович, kozlov06, М, ул. Мышкина 16, 
Нестеров Елисей Иванович, yelisey.nesterov, М, ул. Пограничная 48, 
Медведева Лиана Никитична, dr.medvedeva, Ж, ул. Макарова 73, 
Лобанова Елизавета Руслановна, lob.yelizaveta, Ж, ул. Жигулёвская 49, 
Полякова Вероника Данииловна, ms.polyakova, Ж, ул. Мартыненко 19, 
Медведева Арина Егоровна, medvedeva, Ж, ул. Красноармейцев 8, 
Макарова Эмилия Максимовна, emiliya.mm, Ж, ул. Пограничная 46, 
Зайцева София Георгиевна, zaytseva03, Ж, ул. Цветочная 28, 
Еремин Даниэль Артёмович, daniel.ya, М, ул. Трамвайная 33, 
Дмитриева Полина Матвеевна, polina.dmitriyeva, Ж, ул. Мартыненская 8, 
